Country name,indicator_code,sdg,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Algeria,3.2.1,3,49.2,0,0,0,0,0,0,0,0,0,38.4,38.9,36.1,34.6,32.2,32.4,28.3,27.9,26.9,26.6,25.2,24.6,23.9,23.6,23.5,23.7,22.4,22.6,0,0,0,0
Algeria,3.2.1,3,54.7,0,0,0,0,0,0,0,0,0,41.3,42.2,38.8,35.5,33.6,33.1,30,29,27.8,27.1,26,25.2,24.7,24.9,23.9,24.2,22.3,22.2,0,0,0,0
Algeria,3.2.1,3,58.2,0,0,0,0,0,0,0,0,0,44.8,44.7,41.8,40.3,37.6,37.6,33.1,32.9,31.4,30.8,29,28.3,27.3,27.3,27.1,27.1,25.6,25.6,0,0,0,0
Algeria,3.2.2,3,21.4,0,0,0,0,0,0,0,0,0,24.7,24.7,27,25.5,25,23.6,21.4,21.4,19.9,18.4,18.2,16.7,15.9,15.4,14.6,13.9,13.2,12.5,0,0,0,0
Algeria,3.3.1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,60,131,142,102,93,95,101,90,119,82,0,0,0,0
Algeria,3.3.2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.7,0,0,0,0,0,0,0,54.6,0,0,0
Algeria,3.3.2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20589,19375,18526,21786,21887,21413,21973,22449,23562,22226,22357,0,0,0,0
Algeria,3.3.3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,196,94,408,191,887,603,266,747,432,453,0,0,0,0
Algeria,3.3.4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1593,1802,1985,1783,2004,1797,2342,2576,2896,2861,3173,0,0,0,0
Algeria,3.4.1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.5,0,0,0,0,0,0
Algeria,3.7.2,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4.4,0,9,0,0,0,0,0,10,0,9.7,0,0,0,0,0,0
Algeria,3.a.1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5,0,0,0,0
Algeria,3.a.1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2,0,0,0,0,0,8.8,0,0,0,0,0,0,0,0
Algeria,3.a.1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1,0,0,0,0,0,0,0,0
Algeria,3.a.1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0,0,0,0
Algeria,3.a.1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3,0,0,0,0,0,0,0,0,0,0,0
Algeria,3.c.1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,144,0,0,0
Algeria,3.c.1,3,0,0,0,0,0,0,0,0,0,0,0,33654,35368,36347,37720,0,39459,0,47995,52071,56209,59618,63534,66236,69076,73431,74937,78838,0,0,0,0
Algeria,3.c.1,3,0,0,0,0,0,0,0,0,0,0,0,8408,8618,8651,8842,0,9684,0,10649,11135,11633,12092,12422,12782,13168,13645,13747,14263,0,0,0,0
Algeria,3.c.1,3,0,0,0,0,0,0,0,0,0,0,0,4976,5198,5705,6082,0,7267,0,8019,8503,9081,9588,10171,10538,11078,11475,11888,12337,0,0,0,0
Algeria,3.c.1,3,0,0,0,0,0,0,0,0,0,0,0,47038,49184,50703,52644,0,56410,0,66663,71709,76923,81298,86127,89556,93322,98551,100572,105438,0,0,0,0
Algeria,4.2.1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.2,0,0,0,0,0,0,0,0
Algeria,4.3.1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352392,0,0,0,0
Algeria,4.3.1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244392,0,0,0,0
Algeria,4.3.1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108000,0,0,0,0
Algeria,4.3.1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27649,0,0,0,0
